Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
Afghanistan,2015,0.2201273885350318,1.45,-1.67,211.59,10.11,2108.71,71176481723.29,12.51,0.51,27.71,28.75,62.66,53,0.04,5.62,8.26,0.01,0.16,9.79,35,39.26,3.83,-248823831,8,1,7
Afghanistan,2016,-0.4531187122736419,2.26,-0.35,234.14,11.82,2101.42,72785293847.67,13.09,0.63,27.71,38.13,63.14,51.1,0.04,5.62,11,0.01,0.26,14.93,32.4,38.94,3.68,-72120748,8,1,7
Afghanistan,2017,-0.17396449704142017,2.65,-0.25,259.79,12.62,2096.09,74711922906.37,12.03,0.72,27.71,38.13,63.02,49.4,0.04,6.02,13.5,0.01,0.26,15.66,31.3,37.13,3.65,-58159723,8,1,7
Afghanistan,2018,1.0489285714285714,1.19,-1.69,294.31,14.13,2060.7,75600418108.83,11.7,0.89,27.87,38.13,63.08,47.8,0.12,5.62,16.8,0,0.19,9.98,42.8,44.2,3.72,-53275504,8,1,7
Afghanistan,2019,2.0125301204819275,3.91,0.93,285.56,13.24,2079.92,78557606648.67,11.34,0.69,27.87,38.13,63.57,46.3,0.2,4.86,17.6,0.01,2.07,8.24,44.1,44.06,4.28,-46729143,8,1,7
Algeria,2015,3.0714285714285716,3.7,1.65,838.51,6.98,11751.63,464696677723.63,15.2,15.88,31.6,55,75.62,21.7,0.22,0.23,38.2,0,5.38,4.98,40.6,44.25,13.69,-389898517,32,10,22
Algeria,2016,2.4862745098039216,3.2,1.16,768.08,6.61,11888.32,479566971411.09,16.11,12,31.6,57.5,75.73,21.4,0.21,0.49,42.95,0.02,5.18,5.62,40,46.11,15.32,553537188,32,10,22
Algeria,2017,0.08124999999999999,1.3,-0.66,737.04,6.28,11809.48,485801342039.05,17.56,14.29,25.76,57.5,75.74,21,0.53,0.96,47.69,0.03,4.87,5.06,38,46.23,15.36,3195858266,32,10,22
Algeria,2018,1.775,1.2,-0.71,734.99,6.16,11725.88,491630958145.9,13.77,18.48,25.76,57.5,76.07,20.6,0.04,3.89,49.04,0.03,4.87,4.05,38.6,48.5,14.46,3655873506,32,10,22
Algeria,2019,2.9545454545454546,1,-0.84,750.45,6.24,11627.28,496547267726.09,14.46,16.34,25.76,57.5,76.47,20.1,0.04,4.45,57.9,0.03,4.96,2.8,41.6,48.6,15.89,2433262425,32,10,22
Argentina,2015,0.4610526315789473,2.73,1.63,2059.33,10.23,23933.89,1032315583600.75,13.96,1.09,26.67,73.13,76.76,10.3,0.62,9.23,68.04,0.12,9.51,11.15,42,56.73,2.06,-4268166320,85,35,50
Argentina,2016,2.4212121212121214,-2.08,-3.11,1831.54,9,23189.53,1010840035079.44,13.36,0.94,35.8,73.13,76.31,9.8,0.56,8.98,70.97,0.09,8.44,12.17,42,57.24,1.95,-2522737000,85,35,50
Argentina,2017,1.897029702970297,2.82,1.76,2470.11,10.44,23597.12,1039330591568.54,13.26,1.12,38.13,73.13,76.83,9.1,0.56,9.21,74.29,0.11,8.69,14.37,41.1,57.31,2.06,-3140685000,85,35,50
Argentina,2018,2.4995726495726496,-2.62,-3.6,2260.4,9.67,22747.24,1012127189427.81,12.52,2.1,38.91,76.25,77,8.4,0.49,5.4,77.7,0.06,7.57,14.6,41.3,58.18,1.88,-3485635000,85,35,50
Argentina,2019,2.194782608695652,-2,-2.97,2198.88,9.51,22071.75,991875931195.23,12.53,2.19,40.16,76.25,77.28,7.6,0.46,5.21,79.9,0.07,8.1,14.12,42.9,58.96,1.84,-2190118000,85,35,50
Armenia,2015,1.9830188679245282,3.2,3.61,1008.7,10.12,11506.04,33121226305.49,10.66,0.76,10.69,82.5,74.44,12.9,0.25,5.65,59.1,0.15,3.19,8.62,32.4,69.14,16.1,-53904519,54,23,31
Armenia,2016,2.4354430379746836,0.2,0.65,1065.28,9.95,11580.38,33187468758.04,10.2,0.22,10.69,82.5,74.66,12.2,0.23,6.14,64.35,0.18,4.9,10.35,32.5,70.63,15.12,-44316063,54,23,31
Armenia,2017,2.2185185185185183,7.5,8.02,1255.46,10.36,12509.64,35676528915.44,10.4,0.25,18.1,82.5,74.91,11.6,0.23,7.55,64.74,0.19,4.13,10.46,33.6,71.49,14.79,-67258593,54,23,31
Armenia,2018,2.5903225806451613,5.2,5.77,1303.19,10.01,13231.43,37531708418.92,8.99,1.09,18.1,85,75.06,11.1,0.19,7.06,68.25,0.32,5.4,10.71,34.4,73.19,17.13,-130713959,54,23,31
